169.16.1.19 - - [13/Feb/2023:09:59:27 -0500] "GET /ilo/boot-c72151a1-9382-4b4b-a7a2-29ba861f5d0c.iso HTTP/1.1" 206 524288 153991 "-" "-"
169.16.1.19 - - [13/Feb/2023:09:59:27 -0500] "GET /ilo/boot-c72151a1-9382-4b4b-a7a2-29ba861f5d0c.iso HTTP/1.1" 206 524288 217380 "-" "-"
169.16.1.19 - - [13/Feb/2023:09:59:27 -0500] "GET /ilo/boot-c72151a1-9382-4b4b-a7a2-29ba861f5d0c.iso HTTP/1.1" 206 524288 196449 "-" "-"
169.16.1.19 - - [13/Feb/2023:09:59:27 -0500] "GET /ilo/boot-c72151a1-9382-4b4b-a7a2-29ba861f5d0c.iso HTTP/1.1" 206 524288 163361 "-" "-"
169.16.1.19 - - [13/Feb/2023:09:59:28 -0500] "GET /ilo/boot-c72151a1-9382-4b4b-a7a2-29ba861f5d0c.iso HTTP/1.1" 206 524288 183450 "-" "-"
169.16.1.19 - - [13/Feb/2023:09:59:28 -0500] "GET /ilo/boot-c72151a1-9382-4b4b-a7a2-29ba861f5d0c.iso HTTP/1.1" 206 524288 174850 "-" "-"
169.16.1.19 - - [13/Feb/2023:09:59:28 -0500] "GET /ilo/boot-c72151a1-9382-4b4b-a7a2-29ba861f5d0c.iso HTTP/1.1" 206 524288 238793 "-" "-"
169.16.1.19 - - [13/Feb/2023:09:59:28 -0500] "GET /ilo/boot-c72151a1-9382-4b4b-a7a2-29ba861f5d0c.iso HTTP/1.1" 206 524288 259419 "-" "-"
169.16.1.19 - - [13/Feb/2023:09:59:29 -0500] "GET /ilo/boot-c72151a1-9382-4b4b-a7a2-29ba861f5d0c.iso HTTP/1.1" 206 524288 172855 "-" "-"
169.16.1.19 - - [13/Feb/2023:09:59:29 -0500] "GET /ilo/boot-c72151a1-9382-4b4b-a7a2-29ba861f5d0c.iso HTTP/1.1" 206 524288 221684 "-" "-"
169.16.1.19 - - [13/Feb/2023:09:59:29 -0500] "GET /ilo/boot-c72151a1-9382-4b4b-a7a2-29ba861f5d0c.iso HTTP/1.1" 206 524288 193526 "-" "-"
169.16.1.19 - - [13/Feb/2023:09:59:29 -0500] "GET /ilo/boot-c72151a1-9382-4b4b-a7a2-29ba861f5d0c.iso HTTP/1.1" 206 524288 233180 "-" "-"
169.16.1.19 - - [13/Feb/2023:09:59:30 -0500] "GET /ilo/boot-c72151a1-9382-4b4b-a7a2-29ba861f5d0c.iso HTTP/1.1" 206 524288 220006 "-" "-"
169.16.1.19 - - [13/Feb/2023:09:59:30 -0500] "GET /ilo/boot-c72151a1-9382-4b4b-a7a2-29ba861f5d0c.iso HTTP/1.1" 206 524288 191703 "-" "-"
169.16.1.19 - - [13/Feb/2023:09:59:30 -0500] "GET /ilo/boot-c72151a1-9382-4b4b-a7a2-29ba861f5d0c.iso HTTP/1.1" 206 524288 226949 "-" "-"
169.16.1.19 - - [13/Feb/2023:09:59:30 -0500] "GET /ilo/boot-c72151a1-9382-4b4b-a7a2-29ba861f5d0c.iso HTTP/1.1" 206 524288 240532 "-" "-"
169.16.1.19 - - [13/Feb/2023:09:59:31 -0500] "GET /ilo/boot-c72151a1-9382-4b4b-a7a2-29ba861f5d0c.iso HTTP/1.1" 206 524288 205022 "-" "-"
169.16.1.19 - - [13/Feb/2023:09:59:31 -0500] "GET /ilo/boot-c72151a1-9382-4b4b-a7a2-29ba861f5d0c.iso HTTP/1.1" 206 524288 213645 "-" "-"
169.16.1.19 - - [13/Feb/2023:09:59:31 -0500] "GET /ilo/boot-c72151a1-9382-4b4b-a7a2-29ba861f5d0c.iso HTTP/1.1" 206 524288 197086 "-" "-"
169.16.1.19 - - [13/Feb/2023:10:27:57 -0500] "GET /ilo/boot-c72151a1-9382-4b4b-a7a2-29ba861f5d0c.iso?EJECT HTTP/1.1" 206 256 1029 "-" "-"
